P,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
P1,0,1,1,1,0,0,0,0,0,1,0
P2,9,0,27,0,0,30,0,0,0,0,0
P3,8,15,0,0,12,18,0,16,0,0,0
P4,3,8,0,0,0,8,5,3,0,0,0
P5,2,0,8,0,0,21,0,10,0,7,0
P6,0,0,4,8,4,0,0,12,8,14,9
P7,0,4,0,3,0,8,0,0,10,11,9
P8,0,0,4,0,3,5,0,0,12,14,9
P9,0,0,0,0,0,1,2,2,0,8,5
P10,0,3,0,0,0,6,0,7,11,0,11
P11,0,0,2,0,4,0,0,7,7,13,0
