P,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
P1,0,1,1,1,0,0,0,0,0,1,0
P2,6,0,18,0,0,20,0,0,0,0,0
P3,6,10,0,0,8,12,0,11,0,0,0
P4,2,6,0,0,0,6,4,2,0,0,0
P5,2,0,6,0,0,14,0,7,0,5,0
P6,0,0,1,2,1,0,0,3,2,3,2
P7,0,1,0,0,0,2,0,0,2,2,2
P8,0,0,1,0,0,1,0,0,3,3,2
P9,0,0,0,0,0,0,0,0,0,2,1
P10,0,0,0,0,0,1,0,1,2,0,2
P11,0,0,0,0,1,0,0,1,1,3,0
